bangla_text,reaction
ইসলাম হচ্ছে শান্তির ধর্ম এটাকে কেউ ছোট মনে করো না দেখো আমাদের হযরত মুহাম্মদ সাল্লাল্লাহু সাল্লাম কতই না কষ্ট করেছে,Positive
আমি   নবীকে  ভালোবাসি,Positive
চাঁদের থেকেও সুন্দর আমাদের প্রিয় নবি হজরত মুহাম্মদ সল্লাল্লাহু আলাইহি ওয়াসাল্লাম,Positive
নবীজি কে আমার প্রনের চেয়ে ও বেশী ভালোবাসি,Positive
ইউসুফ জুলেখা কতোবার দেখেছি তবুও বারবার দেখতে ইচ্ছে করে,Positive
আজ থেকে সবগুলো পর্ব দেখার মিশন শুরু করলাম ইনশাআল্লাহ যদি বেঁচে থাকি সবগুলো দেখবো,Positive
ভালোবাসি প্রিয় নবী হযরত মুহাম্মদ সল্লাল্লাহু আলাইহি ওয়াসাল্লাম কে,Positive
আমি  অনেক গর্বিত যে আমি  ভালো  একটা ধর্ম পেয়েছি ,Positive
এই কন্ঠগুলো মনে হয় আল্লাহ এই সিরিয়ালের জন্যই সৃষ্টি করেছেন এই কন্ঠগুলো কাহিনিটাকে আরও বেশি চরিত্রগুলোকে শক্ত করেছে এবং আমাদের আরও আবেগী করে কাদিয়েছে বিশেষ করে ইউসুফ নবীর কন্ঠ যিনি দিয়েছেন।আল্লাহ আপনাদের সবাইকে হেফাজতে রাখুন।আমিন।আর ধন্যবাদ এস এ টিভি।,Positive
"আবার শুরু করলাম আলহামদুলিল্লাহ, এই বার নিয়ে  বার দেখাল্ম যতোই দেখি ততোয় ভালো লাগে প্রিয় নবিদের জীবনি",Positive
আসুন  আমার  সবাই  পাচঁ ওকতো নামাজ পরি,Positive
সব নবীর উপর ইমান নিয়ে আসতে হবে,Positive
ইসলাম আল্লাহর একমাত্র মনোনীত ধর্ম,Positive
পুরো কাহিনি এতো শুন্দ কন্ঠ ওয়াওআল হামদুলিল্লাহ,Positive
বছর আগে দেখেছিলাম আজ আবার দ্বিতীয় রোজাতে দেখছি,Positive
এই ধারাবাহিকটি যতবারি দেখি নতুন লাগে,Positive
মাশাল্লাহ মনোমুগ্ধকর একটা নাটক  এই সালেও আসে যারা দেখছেন সারা দেন,Positive
সবাই  এক সাথে পড়ুনলা ইলাহা ইল্লাল্লাহু মুহাম্মাদুর রাসুলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম    বেশি কালেমা পড়ুন আর সবাইকে কালেমা পড়ার দাওয়াত দিন,Positive
আমি আল্লাহ কে ভালোবাসি নবীকে ও ভালোবাসি আল্লাহ  আপনি সবাই কে মাপ করে দেন,Positive
আলহামদুলিল্লাহ এই নিয়ে ছয় বার দেখা হয়েছে আল্লাহর কাছে অসংখ্য শুকরিয়া,Positive
ইউছুফ জুলেখা দেখা শুরু করেছি খুবই শুন্দর ধারার ইসলামি সংস্কৃতির আল্লাহ এক  এবং মহানবী হজরত মুহাম্মদ সল্লাল্লাহু আলাইহি ওয়াসাল্লাম তার প্রেরিত শেষ রাসুল আমি গর্বিত আমি মুসলিম,Positive
আমরা মুসলমান হয়েও আমরা  অনেক কম মানুষ আল্লাহর কাছে সিজদাহ্ করিনা আল্লাহ আমাদের নিয়ামত দান করুন,Positive
ছোট্ট বেলায় অনেক কাহিনী শুনেছি ইউসুফ নবীর ও জুলেখার কিন্তু কখনো ইউসুফ নবীর সিরিয়াল দেখা হয়নি প্রথম বার দেখার সুযোগ পাইলাম আর দেখতে দেখতে এতো মনোযোগী হলাম শত বেস্ততার মাঝেও না টেনে সমপুর্নয প্রথম পর্ব শেষ করলাম সবাই দোয়া করবেন শুরু থেকে শেষ পযর্ন্ত যেনো দেখার তৌফিক দেন মহান আল্লাহ্ তালা আমিন,Positive
অনেক ধন্যবাদ ইসলামীক মুভিগুলো প্রচার করার জন্য সেই সাথে আরেকটি অনুরোধ করছি ওমার রা মুভিটি ধারাবাহিক ভাবে প্রচার করার জন্য আশারাখি এভাবে সবগুলো ইসলামক মুভি প্রচার করে যাবেন ধন্যবাদ,Positive
সালে এসে দেখা শুরু করলাম  ইন শা আল্লাহ অনেককিছু শিখে আমল করতে পারব,Positive
এরকম নবীদের জীবনী আরো চাই ইউসুফ জুলেখা অনেকবার দেখলাম কিন্তু তবুও মন ভরেনা আমাদের নবীর জীবন কাহিনী দেন,Positive
সবার উপর আল্লাহ ভরসা কাজেই আল্লাহর উপর ভরসা আল্লাহ ভরসা,Positive
আল্লাহ তায়ালা এক তিনি ছাড়া কোন মাবুদ নাই এবং মুহাম্মদ সল্লাল্লাহু আলাইহি ওয়াসাল্লাম আল্লাহর বান্দা ও রাসুল,Positive
অনেকদিন ধরে দেখবো দেখবো করছিলাম আজকে থেকে দেখা শুরু করলাম ইনশাআল্লাহ সবগুলো পর্ব দেখবো,Positive
তাবলীগ জামাতে বয়ান শুনেছি এবং হাদিস বই পড়েছি  এখন কাল্পনিকচরিত্র ভালো লাগছে অনেক,Positive
নবী গো তোমার উম্মত আজ    বিপদে তুমি তোমার বন্ধু কে বলো না তোমার উম্মত কে ক্ষমা করে দিতে আমিন,Positive
আলহামদুলিল্লাহ  আজ থেকে দেখা শুরু করলাম,Positive
হে আল্লাহ তুমি আমাদের সবাইকে ক্ষমা কর আমিন,Positive
আমার মতো কে কে  বছর পর দেখতেছো লাইক দিয়ে বুঝিয়ে দাও,Positive
আজ থেকে একবছর আগে আমি দেখেছি আবার আজ থেকে দেখা শুরু করলাম পরীক্ষার পড়া বাদ দিয়ে,Positive
আমার প্রিয় নবী ইউসুফ আমি ইভা পাঠিয়েছি,Positive
"আমি - পর্ব পর্যন্ত  বার দেখেছি, আবার শুরু করলাম আজ থেকেআমার মত কে কে এমন পাগল এই সিরিজের জন্য",Positive
আমি ভালোবাসি আমার প্রিয় নবীকে আমাদের জন্য কত কিছু করছে,Positive
একই পর্ব আমি তিনবার দেখলাম তারপরও ভালো লাগে,Positive
একদিন ‍আমার ‍সন্তানরাও এই সিরিজটি দেখবে কমেন্ট টা তাদের জন্য,Positive
আল্লাহ আমাদের সহায়ক হোক,Positive
আমরা চাই এই ইউসুফ জুলেখা বাংলাদেশ টেলিভিশনে প্রচার করা হোক,Positive
বাংলা ডাবিং করুন খুবই ভাল কাজ হবে সকলে সহজে প্রিয় নবীজীর জীবনী জানতে পারবে,Positive
আমি মুসলিম  বলে গবিত,Positive
এই রমজান মাসে আবার দেখা শুরু করলাম,Positive
মারহাবা মারহাবা,Positive
পঞ্চম বার দেখতে আসলাম  অসাধারণ সিরিজ,Positive
আবার দেখা শুরু করলাম ইনশাআল্লাহ,Positive
আল্লাহু আকবার সুবাহানাল্লাহ,Positive
ভালোবাসি আমার প্রান প্রিয় নবী হযরত মুহাম্মদ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম কে।,Positive
আমার জানের  নবী  কতই না কষ্ট  করেচে ইসলামের  জন্য,Positive
আলহামদুলিল্লাহ ️,Positive
শুকরিয়া আলহামদুলিল্লাহ,Positive
মুহাম্মদকে আমি ভালোবাসি তবে ইউসুফ নবিকেও ভালোবাসি ,Positive
এতোদিন দেখবো দেখবো করে দেখা হয়নি আজ থেকে দেখা সুরু করলাম আমি আমার রাজু আব্বুকে খুব ভালোবাসি,Positive
আজ থেকে দেখা সুরু কোরলাম আলহামদুলিল্লাহ ভালো লাগবে,Positive
আমি এতো দিন সুলতান সুলেমান দেখতাম আর আজ সুলতান সুলেমান পুরোটা দেখ শেষ হয়েছে  তাই আজকের রাত থেকে ইউসুফ জুলেখা দেখা শুরু করেছি,Positive
লা ইলাহা ইল্লাল্লাহু মুহাম্মাদুর রাসুলুল্লাহ সা,Positive
আমাদের নবি আমাদের জন্য কত কস্ট করেছে,Positive
